,,,,,,,,,,,,,,,,,,,,
,UE34,Intitulé de l'EC,MA2,Mathématiques 2,,,,,,,,,,,,,,,,
,,Crédits,4,,,,,,,,,,,,,,,,,
,,Nbe h.,58,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Niveau de la compétence,Compétence ciblée C ou mobilisée M,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,FICHE ECTS ACTUELLE,,,
COMPETENCES EN SCIENCES POUR L'INGENIEUR,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,OBJECTIFS RECHERCHÉS PAR CET ENSEIGNEMENT,,,
Compétence 1,,Résoudre les questions posées par un problème scientifique en étant conscient des limites ,,,,,,,,,,,,2,C,,OBJECTIFS :,,,
,Capacité,,,,,,,,,,,,,,,,Acquérir les bases des mathématiques générales et appliquées pour les sciences de l'ingénieur,,,
,Capacité,,,,,,,,,,,,,,,,,,,
,Capacité,,,,,,,,,,,,,,,,PROGRAMME,,,
,Connaissance,,,,,,,,,,,,,,,,"Mathématiques générales : fonctions d'une variable complexe, équations aux dérivées partielles, Initiation",,,
,Connaissance,,,,,,,,,,,,,,,,aux probabilités,,,
,Connaissance,,,,,,,,,,,,,,,,"Analyse numérique : méthodes de résolution d'équations non linéaires, méthodes numériques pour les",,,
,Mots-clés,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Compétence 2,,Mettre en perspective les connaissances scientifiques avec l'évolution des savoirs et des technologies,,,,,,,,,,,,2,C,,,,,
,Capacité,,,,,,,,,,,,,,,,,,,
,Capacité,,,,,,,,,,,,,,,,,,,
,Capacité,,,,,,,,,,,,,,,,,,,
,Connaissance,,,,,,,,,,,,,,,,,,,
,Connaissance,,,,,,,,,,,,,,,,,,,
,Connaissance,,,,,,,,,,,,,,,,,,,
,Mots-clés,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Compétence 3,,"Identifier, formuler et résoudre un problème d'ingénierie complexe ",,,,,,,,,,,,2,C,,,,,
,Capacité,,,,,,,,,,,,,,,,,,,
,Capacité,,,,,,,,,,,,,,,,,,,
,Capacité,,,,,,,,,,,,,,,,,,,
,Connaissance,,,,,,,,,,,,,,,,,,,
,Connaissance,,,,,,,,,,,,,,,,,,,
,Connaissance,,,,,,,,,,,,,,,,,,,
,Mots-clés,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
COMPETENCES SPECIFIQUES A LA SPECIALITE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Compétence 1,,"Spécifier, modéliser et concevoir les méthodes et algorithmes pour le traitement et la gestion de l'information véhiculée par les signaux et les images",,,,,,,,,,,,3,C,,,,,
,Capacité,,,,,,,,,,,,,,,,,,,
,Capacité,,,,,,,,,,,,,,,,,,,
,Capacité,,,,,,,,,,,,,,,,,,,
,Connaissance,,,,,,,,,,,,,,,,,,,
,Connaissance,,,,,,,,,,,,,,,,,,,
,Connaissance,,,,,,,,,,,,,,,,,,,
,Mots-clés,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Compétence 2,,Concevoir et développer des logiciels haut et bas niveau pour des systèmes  (traitement et gestion de l’information),,,,,,,,,,,,1,C,,,,,
,Capacité,,,,,,,,,,,,,,,,,,,
,Capacité,,,,,,,,,,,,,,,,,,,
,Capacité,,,,,,,,,,,,,,,,,,,
,Connaissance,,,,,,,,,,,,,,,,,,,
,Connaissance,,,,,,,,,,,,,,,,,,,
,Connaissance,,,,,,,,,,,,,,,,,,,
,Mots-clés,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
